model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
lstm_class,199961,20,15,False,0.95,1min,1,False,0.4
lstm_class,199961,20,15,True,0.95,1min,10,True,0.33
lstm_class,199961,20,5,False,0.95,1min,1,True,0.58
lstm_class,199961,20,15,False,0.95,,10,True,0.39
lstm_class,199961,20,1,True,0.95,,3,True,0.42
lstm_class,199961,20,15,False,0.95,,5,True,0.47
lstm_class,199961,20,5,True,0.95,1min,3,False,0.45
lstm_class,199961,20,5,False,0.95,1min,10,False,0.55
lstm_class,199961,20,15,False,0.95,1min,3,False,0.36
lstm_class,199961,20,15,True,0.95,1min,10,False,0.47
lstm_class,199961,20,5,False,0.95,,15,True,0.53
lstm_class,199961,20,5,False,0.95,1min,1,False,0.5
lstm_class,199961,20,5,False,0.95,1min,1,True,0.6
lstm_class,199961,20,5,False,0.95,1min,1,True,0.48
lstm_class,199961,20,1,False,0.95,1min,1,True,0.49
lstm_class,199961,20,5,False,0.95,1min,1,True,0.56
lstm_class,199961,20,5,False,0.95,1min,5,True,0.63
lstm_class,199961,20,1,False,0.95,1min,5,True,0.47
lstm_class,199961,20,5,True,0.95,,5,True,0.57
lstm_class,199961,20,5,False,0.95,1min,15,True,0.44
lstm_class,199961,20,5,False,0.95,1min,5,True,0.48
lstm_class,199961,20,5,False,0.95,1min,1,True,0.62
lstm_class,199961,20,5,False,0.95,1min,1,True,0.51
lstm_class,199961,20,5,False,0.95,1min,5,True,0.55
lstm_class,199961,20,5,False,0.95,1min,1,True,0.57
lstm_class,199961,20,1,False,0.95,1min,15,True,0.59
lstm_class,199961,20,5,True,0.95,,5,True,0.41
lstm_class,199961,20,5,False,0.95,1min,1,True,0.54
lstm_class,199961,20,5,False,0.95,1min,1,True,0.45
lstm_class,199961,20,1,False,0.95,1min,1,False,0.49
lstm_class,199961,20,5,False,0.95,1min,5,True,0.59
lstm_class,199961,20,1,False,0.95,1min,15,True,0.45
lstm_class,199961,20,1,False,0.95,1min,15,True,0.58
lstm_class,199961,20,1,False,0.95,1min,15,True,0.57
lstm_class,199961,20,1,False,0.95,1min,15,True,0.61
lstm_class,199961,20,15,True,0.95,1min,15,True,0.58
lstm_class,199961,20,1,False,0.95,,3,True,0.5
lstm_class,199961,20,5,False,0.95,1min,10,True,0.58
lstm_class,199961,20,15,True,0.95,,1,True,0.65
lstm_class,199961,20,15,True,0.95,,3,False,0.56
lstm_class,199961,20,15,True,0.95,,10,True,0.58
lstm_class,199961,20,15,True,0.95,,1,True,0.46
lstm_class,199961,20,15,True,0.95,,1,True,0.51
lstm_class,199961,20,15,True,0.95,,1,True,0.49
lstm_class,199961,20,5,False,0.95,1min,1,True,0.46
lstm_class,199961,20,15,True,0.95,,1,False,0.63
lstm_class,199961,20,15,True,0.95,,5,False,0.49
lstm_class,199961,20,15,True,0.95,,1,False,0.44
lstm_class,199961,20,15,True,0.95,,3,False,0.57
lstm_class,199961,20,15,True,0.95,,15,False,0.42
